title,rating,numOfRatings
Cinema Paradiso (1988),4.1735537190082646,121
Circle of Friends (1995),3.486842105263158,76
Citizen Kane (1941),4.292929292929293,198
Citizen Ruth (1996),3.6222222222222222,45
City Hall (1996),3.1392405063291138,79
City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,44
City of Angels (1998),3.0,8
City of Industry (1997),2.5,6
"City of Lost Children, The (1995)",3.7916666666666665,96
Clean Slate (1994),2.8,10
Clean Slate (Coup de Torchon) (1981),2.75,4
Clear and Present Danger (1994),3.569832402234637,179
Clerks (1994),3.804054054054054,148
"Client, The (1994)",3.381443298969072,97
Cliffhanger (1993),3.021505376344086,93
Clockers (1995),3.0,33
"Clockwork Orange, A (1971)",3.909502262443439,221
"Close Shave, A (1995)",4.491071428571429,112
Clueless (1995),3.458823529411765,170
Cobb (1994),2.8,15
Cold Comfort Farm (1995),3.824,125
Coldblooded (1995),2.0,1
"Collectionneuse, La (1967)",2.0,2
"Colonel Chabert, Le (1994)",3.5,4
Color of Night (1994),2.7333333333333334,15
Commandments (1997),2.6666666666666665,3
Con Air (1997),3.45985401459854,137
Conan the Barbarian (1981),3.046728971962617,107
Condition Red (1995),2.0,2
Coneheads (1993),2.2195121951219514,41
Congo (1995),2.4523809523809526,42
Conspiracy Theory (1997),3.4237288135593222,295
Contact (1997),3.8035363457760316,509
"Contempt (Mépris, Le) (1963)",3.0,9
"Convent, The (Convento, O) (1995)",2.5,2
"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439,82
Cool Hand Luke (1967),3.9939024390243905,164
Cool Runnings (1993),3.161764705882353,68
Cop Land (1997),3.3771428571428572,175
Cops and Robbersons (1994),2.3076923076923075,13
Copycat (1995),3.302325581395349,86
"Corrina, Corrina (1994)",3.1538461538461537,39
Cosi (1996),4.0,4
Country Life (1994),1.5,2
Courage Under Fire (1996),3.6108597285067874,221
"Cowboy Way, The (1994)",2.210526315789474,19
"Craft, The (1996)",3.1153846153846154,104
Crash (1996),2.546875,128
Crimson Tide (1995),3.6298701298701297,154
Critical Care (1997),3.090909090909091,11
Cronos (1992),3.2,10
Crooklyn (1994),3.5,10
Crossfire (1947),4.25,4
"Crossing Guard, The (1995)",3.0,28
"Crow, The (1994)",3.417910447761194,134
"Crow: City of Angels, The (1996)",1.9487179487179487,39
Crows and Sparrows (1949),1.5,2
"Crucible, The (1996)",3.3376623376623376,77
"Crude Oasis, The (1995)",1.0,1
Crumb (1994),3.7901234567901234,81
"Cry, the Beloved Country (1995)",3.75,24
"Crying Game, The (1992)",3.6218487394957983,119
Curdled (1996),2.75,8
"Cure, The (1995)",3.3333333333333335,6
Cutthroat Island (1995),2.4444444444444446,18
Cyclo (1995),3.0,1
Cyrano de Bergerac (1990),3.8181818181818183,66
"Cérémonie, La (1995)",4.0,3
D3: The Mighty Ducks (1996),2.5789473684210527,19
Dadetown (1995),3.0,1
Daens (1992),1.0,1
"Damsel in Distress, A (1937)",4.0,1
Dances with Wolves (1990),3.79296875,256
Dangerous Beauty (1998),3.769230769230769,13
Dangerous Ground (1997),1.75,8
Dangerous Minds (1995),3.3404255319148937,47
Daniel Defoe's Robinson Crusoe (1996),3.0,2
Dante's Peak (1997),2.933333333333333,240
Dark City (1998),3.5,16
Dave (1993),3.65,180
"Davy Crockett, King of the Wild Frontier (1955)",2.909090909090909,11
"Day the Earth Stood Still, The (1951)",3.9381443298969074,97
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,2
Daylight (1996),2.7719298245614037,57
Days of Thunder (1990),2.7169811320754715,53
"Daytrippers, The (1996)",3.6666666666666665,15
Dazed and Confused (1993),3.46875,64
Dead Man (1995),3.823529411764706,34
Dead Man Walking (1995),3.8963210702341136,299
Dead Poets Society (1989),3.9163346613545817,251
Dead Presidents (1995),2.7222222222222223,18
Dear God (1996),2.5,12
Death and the Maiden (1994),3.4285714285714284,28
Death in Brunswick (1991),4.0,1
"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,1
Deceiver (1997),2.8275862068965516,29
Deconstructing Harry (1997),3.4,65
Deep Rising (1998),2.4285714285714284,14
"Deer Hunter, The (1978)",3.8333333333333335,120
Delicatessen (1991),3.876923076923077,65
Delta of Venus (1994),3.0,2
Demolition Man (1993),3.152173913043478,92
Denise Calls Up (1995),3.0,7
Desert Winds (1995),4.0,1
"Designated Mourner, The (1997)",1.8571428571428572,7
Desperado (1995),3.4536082474226806,97
Desperate Measures (1998),3.3194444444444446,72
Destiny Turns on the Radio (1995),3.0,2
Devil in a Blue Dress (1995),3.3859649122807016,57
"Devil's Advocate, The (1997)",3.515957446808511,188
"Devil's Own, The (1997)",3.1083333333333334,240
Diabolique (1996),2.887323943661972,71
Dial M for Murder (1954),4.0,68
Die Hard (1988),3.8724279835390947,243
Die Hard 2 (1990),3.355421686746988,166
Die Hard: With a Vengeance (1995),3.2847682119205297,151
"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871,31
Dingo (1992),2.4,5
Dirty Dancing (1987),3.1020408163265305,98
Disclosure (1994),3.0,40
Diva (1981),3.727272727272727,66
Dolores Claiborne (1994),3.3417721518987342,79
Don Juan DeMarco (1995),3.5526315789473686,76
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7714285714285714,35
Donnie Brasco (1997),3.802721088435374,147
"Doom Generation, The (1995)",2.7142857142857144,7
"Doors, The (1991)",2.9782608695652173,46
Double Happiness (1994),3.4285714285714284,7
Double Team (1997),2.230769230769231,13
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817,22
Down Periscope (1996),2.702970297029703,101
Down by Law (1986),3.7714285714285714,35
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629,194
Dracula: Dead and Loving It (1995),2.28,25
Dragonheart (1996),3.0822784810126582,158
Dream Man (1995),1.5,2
Dream With the Fishes (1997),3.142857142857143,7
Drop Dead Fred (1991),2.75,24
Drop Zone (1994),2.5483870967741935,31
Drunks (1995),2.8,5
Duck Soup (1933),4.0,93
Dumb & Dumber (1994),3.0,69
Dumbo (1941),3.4959349593495936,123
Dunston Checks In (1996),1.8571428571428572,7
Duoluo tianshi (1995),3.1666666666666665,6
E.T. the Extra-Terrestrial (1982),3.8333333333333335,300
East of Eden (1955),3.864406779661017,59
Eat Drink Man Woman (1994),4.05,80
Ed (1996),1.3333333333333333,6
Ed Wood (1994),3.601503759398496,133
Ed's Next Move (1996),2.6666666666666665,3
Eddie (1996),2.7,40
"Edge, The (1997)",3.5398230088495577,113
"Eighth Day, The (1996)",3.0,1
Emma (1996),3.7175141242937855,177
"Empire Strikes Back, The (1980)",4.206521739130435,368
Enchanted April (1991),3.9285714285714284,70
"Endless Summer 2, The (1994)",2.5,10
"Enfer, L' (1994)",3.0,4
"English Patient, The (1996)",3.656964656964657,481
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375,32
Entertaining Angels: The Dorothy Day Story (1996),5.0,1
Eraser (1996),3.150485436893204,206
Escape from L.A. (1996),2.4615384615384617,91
Escape from New York (1981),3.241758241758242,91
Escape to Witch Mountain (1975),2.966666666666667,30
Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0,1
Eve's Bayou (1997),3.609375,64
Even Cowgirls Get the Blues (1993),2.0,5
"Evening Star, The (1996)",2.9310344827586206,29
Event Horizon (1997),2.574803149606299,127
Everest (1998),4.5,2
Every Other Weekend (1990),1.0,1
Everyone Says I Love You (1996),3.2738095238095237,168
Evil Dead II (1987),3.5168539325842696,89
Evita (1996),2.9806949806949805,259
Excess Baggage (1997),2.5384615384615383,52
Executive Decision (1996),3.356687898089172,157
Exit to Eden (1994),2.75,16
Exotica (1994),3.5555555555555554,27
Extreme Measures (1996),3.171875,64
Eye for an Eye (1996),3.03125,32
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1
Face/Off (1997),3.768041237113402,194
Faces (1968),3.0,4
Fair Game (1995),2.1818181818181817,11
FairyTale: A True Story (1997),2.966666666666667,30
Faithful (1996),3.3,10
Fall (1997),2.0,3
Fallen (1998),3.1463414634146343,41
Falling in Love Again (1980),1.0,2
"Family Thing, A (1996)",3.5555555555555554,45
"Fan, The (1996)",3.09375,64
Fantasia (1940),3.7701149425287355,174
Far From Home: The Adventures of Yellow Dog (1995),3.2857142857142856,7
Farewell My Concubine (1993),3.9782608695652173,46
"Farewell to Arms, A (1932)",3.8333333333333335,12
Fargo (1996),4.155511811023622,508
Farinelli: il castrato (1994),3.1176470588235294,17
Farmer & Chase (1995),4.0,1
"Fast, Cheap & Out of Control (1997)",3.4375,32
Faster Pussycat! Kill! Kill! (1965),3.0,7
Fatal Instinct (1993),2.6315789473684212,19
Father of the Bride (1950),3.5833333333333335,60
Father of the Bride Part II (1995),2.8984375,128
Fathers' Day (1997),2.5806451612903225,31
Faust (1994),4.2,5
Fausto (1993),3.0,3
"Favor, The (1994)",2.0,1
Fear (1996),3.159090909090909,44
Fear of a Black Hat (1993),3.2,10
"Fear, The (1995)",3.0,1
Fearless (1993),3.24,25
Feast of July (1995),2.4,5
Feeling Minnesota (1996),2.625,32
Female Perversions (1996),2.625,8
Field of Dreams (1989),3.69811320754717,212
Fierce Creatures (1997),3.1145833333333335,96
"Fifth Element, The (1997)",3.4771573604060912,197
"Fille seule, La (A Single Girl) (1995)",4.0,4
Fire Down Below (1997),2.9318181818181817,44
Fire on the Mountain (1996),3.0,1
Firestorm (1998),2.8333333333333335,18
"Firm, The (1993)",3.2781456953642385,151
First Kid (1996),2.925,40
First Knight (1995),3.0232558139534884,86
"First Wives Club, The (1996)",3.01875,160
"Fish Called Wanda, A (1988)",3.785425101214575,247
Fled (1996),2.6470588235294117,34
Flesh and Bone (1993),2.8333333333333335,6
"Flintstones, The (1994)",2.064516129032258,31
Flipper (1996),2.45,20
Flirt (1995),3.6,5
Flirting With Disaster (1996),3.6904761904761907,42
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.1666666666666665,6
Flubber (1997),2.7547169811320753,53
Fluke (1995),2.4285714285714284,14
Fly Away Home (1996),3.6,180
"Fog, The (1980)",2.739130434782609,23
Fools Rush In (1997),3.0,24
For Ever Mozart (1996),2.0,3
For Love or Money (1993),2.8333333333333335,12
For Richer or Poorer (1997),2.4285714285714284,14
For Whom the Bell Tolls (1943),4.0,20
For the Moment (1994),2.6666666666666665,3
"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,4
Forbidden Planet (1956),3.8358208955223883,67
Foreign Correspondent (1940),3.8666666666666667,15
Foreign Student (1994),2.0,2
Forget Paris (1995),3.193548387096774,62
Forrest Gump (1994),3.853582554517134,321
Four Days in September (1997),3.75,12
Four Rooms (1995),3.033333333333333,90
Four Weddings and a Funeral (1994),3.6613545816733066,251
"Fox and the Hound, The (1981)",3.1475409836065573,61
Foxfire (1996),2.933333333333333,15
Frankie Starlight (1995),2.5,4
Free Willy (1993),2.4545454545454546,33
Free Willy 2: The Adventure Home (1995),2.1818181818181817,11
Free Willy 3: The Rescue (1997),1.7407407407407407,27
Freeway (1996),3.357142857142857,42
French Kiss (1995),3.3333333333333335,84
French Twist (Gazon maudit) (1995),3.2051282051282053,39
Fresh (1994),4.1,10
Friday (1995),3.4615384615384617,26
Fried Green Tomatoes (1991),3.764705882352941,153
"Frighteners, The (1996)",3.234782608695652,115
Frisk (1995),2.6666666666666665,3
From Dusk Till Dawn (1996),3.119565217391304,92
"Fugitive, The (1993)",4.044642857142857,336
Full Metal Jacket (1987),3.6823529411764704,170
"Full Monty, The (1997)",3.926984126984127,315
Full Speed (1996),3.125,8
"Funeral, The (1996)",2.4285714285714284,21
Funny Face (1957),3.6666666666666665,21
"Further Gesture, A (1996)",1.0,1
G.I. Jane (1997),3.36,175
Gabbeh (1996),3.3333333333333335,6
"Game, The (1997)",3.593625498007968,251
Gandhi (1982),4.02051282051282,195
Gang Related (1997),2.6875,16
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",3.9166666666666665,24
Gaslight (1944),3.8857142857142857,35
"Gate of Heavenly Peace, The (1995)",4.0,1
Gattaca (1997),3.5955882352941178,136
"Gay Divorcee, The (1934)",3.8666666666666667,15
George of the Jungle (1997),2.685185185185185,162
Georgia (1995),2.9,30
Germinal (1993),3.0,4
Geronimo: An American Legend (1993),3.111111111111111,9
Get Shorty (1995),3.550239234449761,209
Get on the Bus (1996),3.3157894736842106,38
"Getaway, The (1994)",2.3333333333333335,18
Getting Away With Murder (1996),1.0,1
Getting Even with Dad (1994),1.6,5
Ghost (1990),3.4647058823529413,170
"Ghost and Mrs. Muir, The (1947)",3.6511627906976742,43
"Ghost and the Darkness, The (1996)",3.203125,128
Ghost in the Shell (Kokaku kidotai) (1995),3.6538461538461537,26
Ghosts of Mississippi (1996),3.4827586206896552,29
Giant (1956),3.7450980392156863,51
Gigi (1958),3.658536585365854,41
Gilligan's Island: The Movie (1998),1.3333333333333333,3
Girl 6 (1996),2.76,25
Girl in the Cadillac (1995),1.0,1
Girls Town (1996),3.0,1
"Glass Shield, The (1994)",2.0,2
Glengarry Glen Ross (1992),3.463768115942029,69
"Glimmer Man, The (1996)",2.75,48
Glory (1989),4.076023391812866,171
Go Fish (1994),3.2,15
"Godfather, The (1972)",4.283292978208232,413
"Godfather: Part II, The (1974)",4.186602870813397,209
Gold Diggers: The Secret of Bear Mountain (1995),3.1,10
Golden Earrings (1947),4.0,2
GoldenEye (1995),3.2061068702290076,131
Gone Fishin' (1997),1.8181818181818181,11
Gone with the Wind (1939),3.854651162790698,172
"Good Man in Africa, A (1994)",3.0,2
Good Morning (1971),1.0,1
Good Will Hunting (1997),4.262626262626263,198
"Good, The Bad and The Ugly, The (1966)",3.8613138686131387,137
GoodFellas (1990),3.9513274336283186,226
"Goofy Movie, A (1995)",2.9,20
Gordy (1995),1.0,3
Grace of My Heart (1996),3.25,8
"Graduate, The (1967)",4.104602510460251,239
"Grand Day Out, A (1992)",4.106060606060606,66
"Grass Harp, The (1995)",3.2222222222222223,9
Grateful Dead (1995),3.5,4
Grease (1978),3.347058823529412,170
Grease 2 (1982),2.0,24
"Great Day in Harlem, A (1994)",5.0,1
"Great Dictator, The (1940)",4.021739130434782,46
"Great Escape, The (1963)",4.104838709677419,124
Great Expectations (1998),3.2222222222222223,27
"Great Race, The (1965)",3.2903225806451615,31
"Great White Hype, The (1996)",2.7551020408163267,49
Gridlock'd (1997),3.210526315789474,19
"Grifters, The (1990)",3.4831460674157304,89
Grosse Fatigue (1994),3.25,4
Grosse Pointe Blank (1997),3.675,160
Groundhog Day (1993),3.7642857142857142,280
Grumpier Old Men (1995),3.0405405405405403,148
Guantanamera (1994),3.75,4
Guilty as Sin (1993),2.1666666666666665,6
Gumby: The Movie (1995),2.6,5
Hackers (1995),2.606060606060606,33
Half Baked (1998),2.5,20
Halloween: The Curse of Michael Myers (1995),2.2,25
Hamlet (1996),4.011111111111111,90
Hana-bi (1997),3.0,1
Happy Gilmore (1996),3.389261744966443,149
Hard Eight (1996),4.0,15
